,película,año,imdb,metascore,votos,n_imdb
1057,Hoodwinked!,2005,6.5,45,64452,65.0
1058,En sus zapatos,2005,6.5,60,64085,65.0
1059,Monster-in-Law,2005,5.5,31,64061,55.0
1060,The Sisterhood of the Traveling Pants,2005,6.5,66,63458,65.0
1061,Cheaper by the Dozen 2,2005,5.5,34,61392,55.0
1062,Dicen por ahí...,2005,5.5,35,60343,55.0
1063,Grizzly Man,2005,7.8,87,59704,78.0
1064,Everything Is Illuminated,2005,7.4,58,59349,74.0
1065,March of the Penguins,2005,7.5,79,59213,75.0
1066,Son of the Mask,2005,2.2,20,58278,22.0
1067,Lords of Dogtown,2005,7.1,56,56944,71.0
1068,The World's Fastest Indian,2005,7.8,68,56895,78.0
1069,Casanova,2005,6.5,57,55658,65.0
1070,Stealth,2005,5.1,35,55466,51.0
1071,The Wedding Date,2005,6.1,32,55203,61.0
1072,Rent,2005,6.8,53,55023,68.0
1073,The Proposition,2005,7.3,73,54126,73.0
1074,Adams æbler,2005,7.7,51,52930,77.0
1075,Deuce Bigalow: European Gigolo,2005,4.7,23,52461,47.0
1076,White Noise,2005,5.5,30,50111,55.0
1077,Herbie Fully Loaded,2005,4.9,47,49698,49.0
1078,Get Rich or Die Tryin',2005,5.4,45,48869,54.0
1079,Two for the Money,2005,6.2,50,47622,62.0
1080,Amor en juego,2005,6.2,56,46693,62.0
1081,Alone in the Dark,2005,2.4,9,46547,24.0
1082,The Matador,2005,6.7,65,45950,67.0
1083,Proof,2005,6.7,64,45729,67.0
1084,Conquistando a mi suegro,2005,5.9,49,44593,59.0
1085,North Country,2005,7.3,68,44206,73.0
1086,The Producers,2005,6.3,52,43980,63.0
1087,Hustle & Flow,2005,7.3,68,42284,73.0
1088,Transamerica,2005,7.4,66,42006,74.0
1089,Prime,2005,6.2,58,41691,62.0
1090,The Three Burials of Melquiades Estrada,2005,7.3,77,41419,73.0
1091,The Adventures of Sharkboy and Lavagirl 3-D,2005,3.7,38,40613,37.0
1092,The Cave,2005,5.1,30,40421,51.0
1093,Kicking & Screaming,2005,5.6,45,39926,56.0
1094,The Fog,2005,3.7,27,38523,37.0
1095,Tom yum goong,2005,7.0,52,38394,70.0
1096,The Ringer,2005,5.8,46,38132,58.0
1097,Me and You and Everyone We Know,2005,7.2,76,37046,72.0
1098,BloodRayne,2005,3.0,18,36661,30.0
1099,Keeping Mum,2005,6.8,53,35482,68.0
1100,Angel-A,2005,7.0,48,34988,70.0
1101,Imagine Me & You,2005,6.7,49,34783,67.0
1102,Tideland,2005,6.3,26,34210,63.0
1103,Cursed,2005,5.0,31,34177,50.0
1104,Are We There Yet?,2005,4.7,27,33750,47.0
1105,Oliver Twist,2005,6.8,65,33727,68.0
1106,C.R.A.Z.Y.,2005,7.9,81,33723,79.0
1107,Feast,2005,6.2,43,33129,62.0
1108,Must Love Dogs,2005,5.9,46,32628,59.0
1109,The Greatest Game Ever Played,2005,7.4,55,32504,74.0
1110,An Unfinished Life,2005,7.0,49,32476,70.0
1111,Boogeyman,2005,4.2,32,32053,42.0
1112,The Perfect Man,2005,5.4,27,31557,54.0
1113,Noche de paz,2005,7.7,70,30921,77.0
1114,"Yours, Mine & Ours",2005,5.5,38,29636,55.0
1115,Tsotsi,2005,7.2,70,29031,72.0
1116,Ice Princess,2005,6.0,55,28299,60.0
1117,Sophie Scholl - Die letzten Tage,2005,7.6,76,28259,76.0
1118,Cry Wolf,2005,5.8,39,28112,58.0
1119,An American Haunting,2005,5.0,38,26480,50.0
1120,The Man,2005,5.5,33,26352,55.0
1121,Man of the House,2005,5.4,35,24792,54.0
1122,The Ice Harvest,2005,6.2,62,24618,62.0
1123,Manderlay,2005,7.2,46,24536,72.0
1124,Shopgirl,2005,6.3,62,24436,63.0
1125,Little Manhattan,2005,7.4,52,24344,74.0
1126,London,2005,6.4,24,24237,64.0
1127,Valiant,2005,5.5,45,23864,55.0
1128,The Great Raid,2005,6.6,48,23711,66.0
1129,Paradise Now,2005,7.4,71,23694,74.0
1130,Breakfast on Pluto,2005,7.2,59,23596,72.0
1131,Mirrormask,2005,6.7,55,23407,67.0
1132,Last Days,2005,5.7,67,23362,57.0
1133,Junebug,2005,6.9,80,23237,69.0
1134,The Upside of Anger,2005,6.8,63,22609,68.0
1135,Bad News Bears,2005,5.8,65,22360,58.0
1136,Thumbsucker,2005,6.5,69,21749,65.0
1137,Les poupées russes,2005,7.0,67,21034,70.0
1138,Kinky Boots,2005,7.1,57,21001,71.0
1139,De battre mon coeur s'est arrêté,2005,7.2,75,20236,72.0
1140,A Sound of Thunder,2005,4.2,24,20234,42.0
1141,L'enfant,2005,7.4,87,19182,74.0
1142,The Chumscrubber,2005,6.9,41,18945,69.0
1143,Down in the Valley,2005,6.4,65,18772,64.0
1144,Where the Truth Lies,2005,6.4,47,18545,64.0
1145,Beowulf & Grendel,2005,5.8,53,18379,58.0
1146,Beauty Shop,2005,5.6,53,18199,56.0
1147,Racing Stripes,2005,5.2,43,17859,52.0
1148,13 Tzameti,2005,7.3,61,17812,73.0
1149,Pusher III,2005,7.3,72,17292,73.0
1150,The Quiet,2005,6.1,29,17249,61.0
1151,The Aristocrats,2005,6.4,72,16924,64.0
1152,Mrs. Henderson Presents,2005,7.0,71,16158,70.0
1153,The Prestige,2006,8.5,66,1390268,85.0
1154,The Departed,2006,8.5,85,1374998,85.0
1155,300,2006,7.6,52,844188,76.0
1156,Pirates of the Caribbean: Dead Man's Chest,2006,7.4,53,745360,74.0
1157,El laberinto del fauno,2006,8.2,98,686989,82.0
1158,Casino Royale,2006,8.0,80,677433,80.0
1159,Blood Diamond,2006,8.0,64,569937,80.0
1160,En busca de la felicidad,2006,8.0,64,539824,80.0
1161,X-Men: The Last Stand,2006,6.6,58,530731,66.0
1162,Children of Men,2006,7.9,84,515737,79.0
1163,Pequeña Miss Sunshine,2006,7.8,80,502356,78.0
1164,The Da Vinci Code,2006,6.6,46,448102,66.0
1165,Cars,2006,7.2,73,447307,72.0
1166,The Devil Wears Prada,2006,6.9,62,441740,69.0
1167,Borat,2006,7.4,89,427984,74.0
1168,The Lives of Others,2006,8.4,89,400278,84.0
1169,Inside Man,2006,7.6,76,387235,76.0
1170,The Illusionist,2006,7.5,68,382979,75.0
1171,Mission: Impossible III,2006,6.9,66,379222,69.0
1172,Night at the Museum,2006,6.5,48,365137,65.0
1173,Click,2006,6.4,45,346067,64.0
1174,Apocalypto,2006,7.8,68,322837,78.0
1175,Lucky Number Slevin,2006,7.7,53,320818,77.0
1176,Deja Vu,2006,7.1,59,320301,71.0
1177,Babel,2006,7.5,69,311579,75.0
1178,The Holiday,2006,6.9,52,303347,69.0
1179,Ice Age: The Meltdown,2006,6.8,59,289188,68.0
1180,The Fast and the Furious: Tokyo Drift,2006,6.0,45,288916,60.0
1181,Superman Returns,2006,6.1,72,288638,61.0
1182,Perfume: The Story of a Murderer,2006,7.5,56,260017,75.0
1183,Crank,2006,6.9,57,257676,69.0
1184,The Fountain,2006,7.2,51,245082,72.0
1185,Terror en Silent Hill,2006,6.5,31,238238,65.0
1186,Stranger Than Fiction,2006,7.5,67,233710,75.0
1187,Rocky Balboa,2006,7.1,63,226790,71.0
1188,Underworld: Evolution,2006,6.7,36,205822,67.0
1189,Saw III,2006,6.2,48,202210,62.0
1190,Happy feet - El pingüino,2006,6.4,77,194606,64.0
1191,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66,193430,66.0
1192,The Last King of Scotland,2006,7.6,74,192206,76.0
1193,Over the Hedge,2006,6.7,67,184627,67.0
1194,The Hills Have Eyes,2006,6.4,52,178465,64.0
1195,Idiocracy,2006,6.5,66,174454,65.0
1196,She's the Man,2006,6.4,45,169070,64.0
1197,Letters from Iwo Jima,2006,7.8,89,167366,78.0
1198,The Lake House,2006,6.8,52,154762,68.0
1199,La última Carta,2006,6.6,45,149634,66.0
1200,Final Destination 3,2006,5.8,41,149049,58.0
1201,Snakes on a Plane,2006,5.5,58,142798,55.0
1202,Clerks II,2006,7.3,65,139033,73.0
1203,Accepted,2006,6.4,47,137510,64.0
1204,The Break-Up,2006,5.8,45,136553,58.0
1205,Flushed Away,2006,6.6,74,134012,66.0
1206,16 Blocks,2006,6.6,63,133271,66.0
1207,Monster House,2006,6.6,68,131020,66.0
1208,Eragon,2006,5.1,38,128850,51.0
1209,Gwoemul,2006,7.1,85,128444,71.0
1210,Flags of Our Fathers,2006,7.1,79,127110,71.0
1211,Scary Movie 4,2006,5.1,40,126153,51.0
1212,This Is England,2006,7.7,86,126010,77.0
1213,Step Up,2006,6.5,48,123618,65.0
1214,Miami Vice,2006,6.0,66,121130,60.0
1215,María Antonieta,2006,6.5,65,116745,65.0
1216,A Scanner Darkly,2006,7.0,73,115272,70.0
1217,The Fall,2006,7.8,64,114911,78.0
1218,Little Children,2006,7.5,75,114454,75.0
1219,La reina,2006,7.3,90,114414,73.0
1220,Tenacious D in The Pick of Destiny,2006,6.8,55,113086,68.0
1221,Rescue Dawn,2006,7.3,77,109121,73.0
1222,United 93,2006,7.6,90,109023,76.0
1223,Poseidon,2006,5.7,50,108278,57.0
1224,The Good Shepherd,2006,6.7,61,106281,67.0
1225,Sospechas Mortales,2006,6.9,53,106187,69.0
1226,Volver,2006,7.6,84,105331,76.0
1227,Open Season,2006,6.1,49,102414,61.0
1228,Lady in the Water,2006,5.5,36,102293,55.0
1229,Running Scared,2006,7.3,41,101980,73.0
1230,A Good Year,2006,6.9,47,98990,69.0
1231,The Guardian,2006,6.9,53,96194,69.0
1232,The Painted Veil,2006,7.4,69,94872,74.0
1233,Nacho Libre,2006,5.9,52,91430,59.0
1234,The Pink Panther,2006,5.7,38,90323,57.0
1235,Paprika,2006,7.7,81,90064,77.0
1236,Half Nelson,2006,7.1,85,89812,71.0
1237,Cashback,2006,7.1,54,89434,71.0
1238,Slither,2006,6.5,69,86554,65.0
1239,John Tucker Must Die,2006,5.7,41,86539,57.0
1240,Grandma's Boy,2006,6.9,33,86461,69.0
1241,Scoop,2006,6.6,48,86316,66.0
1242,World Trade Center,2006,6.0,66,86043,60.0
1243,La verdad incómoda,2006,7.4,75,84559,74.0
1244,Failure to Launch,2006,5.6,47,83812,56.0
1245,Ultraviolet,2006,4.3,18,83300,43.0
1246,"You, Me and Dupree",2006,5.6,46,83182,56.0
1247,Notes on a Scandal,2006,7.4,73,82236,74.0
1248,Gridiron Gang,2006,7.0,52,79147,70.0
1249,Zwartboek,2006,7.7,71,78963,77.0
1250,Jackass Number Two,2006,7.0,66,78674,70.0
1251,Huo Yuan Jia,2006,7.6,70,77751,76.0
1252,Soñadoras,2006,6.6,76,75937,66.0
1253,The Black Dahlia,2006,5.6,49,75896,56.0
1254,La masacre de Texas - El comienzo,2006,5.8,30,75513,58.0
1255,"París, te amo",2006,7.2,66,73804,72.0
1256,Invincible,2006,7.0,63,73731,70.0
1257,Beerfest,2006,6.2,46,70416,62.0
1258,La ciencia de los sueños,2006,7.2,70,70274,72.0
1259,The Wicker Man,2006,3.8,36,70065,38.0
1260,La chica que saltaba a través del tiempo,2006,7.7,66,69046,77.0
1261,Eight Below,2006,7.3,64,66904,73.0
1262,My Super Ex-Girlfriend,2006,5.2,50,66065,52.0
1263,Black Snake Moan,2006,6.9,52,65631,69.0
1264,Penelope,2006,6.7,48,65091,67.0
1265,We Are Marshall,2006,7.0,53,63658,70.0
1266,RV,2006,5.6,33,62306,56.0
1267,Date Movie,2006,2.8,11,61246,28.0
1268,The Omen,2006,5.5,43,61061,55.0
1269,Inland Empire,2006,6.8,73,60289,68.0
1270,Just My Luck,2006,5.4,29,59576,54.0
1271,Firewall,2006,5.8,45,58983,58.0
1272,Little Man,2006,4.5,26,58079,45.0
1273,Wristcutters: A Love Story,2006,7.2,62,57075,72.0
1274,Ne le dis à personne,2006,7.5,82,56737,75.0
1275,Tristan + Isolde,2006,6.8,49,53706,68.0
1276,The Benchwarmers,2006,5.5,25,53705,55.0
1277,El viento que acaricia el prado,2006,7.5,82,52610,75.0
1278,The Sentinel,2006,6.1,49,51330,61.0
1279,The Covenant,2006,5.2,19,51195,52.0
1280,La maldición 2,2006,5.0,33,50680,50.0
1281,Employee of the Month,2006,5.5,36,49357,55.0
1282,Glory Road,2006,7.2,58,47857,72.0
1283,When a Stranger Calls,2006,5.1,27,47497,51.0
1284,Candy,2006,7.2,57,47057,72.0
1285,DOA: Dead or Alive,2006,4.8,38,45782,48.0
1286,Garfield: A Tale of Two Kitties,2006,5.0,37,45564,50.0
1287,Big Momma's House 2,2006,4.8,34,45412,48.0
1288,La maldición de la flor dorada,2006,7.0,70,45342,70.0
1289,Charlotte's Web,2006,6.3,68,44960,63.0
1290,Aquamarine,2006,5.4,51,44009,54.0
1291,Flyboys,2006,6.5,47,43751,65.0
1292,Bobby,2006,7.0,54,42527,70.0
1293,Gedo senki,2006,6.3,47,42271,63.0
1294,The Last Kiss,2006,6.4,57,42068,64.0
1295,Black Sheep,2006,5.8,62,41581,58.0
1296,The Ant Bully,2006,5.8,59,40908,58.0
1297,Basic Instinct 2,2006,4.4,26,40846,44.0
1298,The Santa Clause 3: The Escape Clause,2006,4.8,32,40702,48.0
1299,Severance,2006,6.4,62,39991,64.0
1300,Turistas,2006,5.4,36,39984,54.0
1301,Southland Tales,2006,5.3,44,39874,53.0
1302,Arthur et les Minimoys,2006,6.0,39,39639,60.0
1303,Bug,2006,6.1,62,36764,61.0
1304,Después de la boda,2006,7.7,78,36012,77.0
1305,Find Me Guilty,2006,7.0,65,35510,70.0
1306,Hollywoodland,2006,6.5,62,35437,65.0
1307,Dnevnoy dozor,2006,6.4,59,35017,64.0
1308,The Marine,2006,4.7,45,34982,47.0
1309,Shortbus,2006,6.4,64,34726,64.0
1310,Last Holiday,2006,6.5,52,34609,65.0
1311,Man of the Year,2006,6.2,39,34349,62.0
1312,All the Boys Love Mandy Lane,2006,5.5,44,34215,55.0
1313,Stay Alive,2006,5.0,24,33397,50.0
1314,Barnyard,2006,5.6,42,33160,56.0
1315,Seraphim Falls,2006,6.6,62,32895,66.0
1316,Hors de prix,2006,7.0,72,32832,70.0
1317,Hatchet,2006,5.6,57,32505,56.0
1318,Friends with Money,2006,5.8,68,31702,58.0
1319,Ils,2006,6.4,60,31510,64.0
1320,Goya's Ghosts,2006,6.9,52,31479,69.0
1321,Miss Potter,2006,7.0,57,31068,70.0
1322,Unknown,2006,6.4,44,31043,64.0
1323,Deck the Halls,2006,5.0,28,30831,50.0
1324,School for Scoundrels,2006,5.9,44,30239,59.0
1325,Pulse,2006,4.7,27,30233,47.0
1326,Stick It,2006,6.3,53,29916,63.0
1327,Fido,2006,6.7,70,29798,67.0
1328,Peaceful Warrior,2006,7.2,40,29288,72.0
1329,Black Christmas,2006,4.6,22,29106,46.0
1330,Jesus Camp,2006,7.4,62,28480,74.0
1331,This Film Is Not Yet Rated,2006,7.4,75,28464,74.0
1332,See No Evil,2006,5.0,17,28259,50.0
1333,Catch and Release,2006,5.9,43,28076,59.0
1334,Vida Salvaje,2006,5.2,47,27007,52.0
1335,Take the Lead,2006,6.6,55,26374,66.0
1336,A Guide to Recognizing Your Saints,2006,6.9,67,26340,69.0
1337,Let's Go to Prison,2006,5.9,27,26180,59.0
1338,The Good German,2006,6.0,49,25763,60.0
1339,Amazing Grace,2006,7.4,65,25363,74.0
1340,Stormbreaker,2006,5.1,42,25270,51.0
1341,All the King's Men,2006,6.1,37,25247,61.0
1342,American Dreamz,2006,5.5,45,25049,55.0
1343,Behind the Mask: The Rise of Leslie Vernon,2006,6.7,66,24873,67.0
1344,Fast Food Nation,2006,6.3,64,24738,63.0
1345,Starter for 10,2006,6.7,69,24583,67.0
1346,Van Wilder 2: The Rise of Taj,2006,4.8,21,23735,48.0
1347,A Prairie Home Companion,2006,6.7,75,23318,67.0
1348,The Astronaut Farmer,2006,6.3,55,23069,63.0
1349,Krrish,2006,6.4,68,22987,64.0
1350,Violación de domicilio,2006,6.5,56,22947,65.0
1351,Running with Scissors,2006,6.1,52,22919,61.0
1352,Away from Her,2006,7.5,88,22791,75.0
1353,Material Girls,2006,3.9,17,22567,39.0
1354,"OSS 117: Le Caire, nid d'espions",2006,7.0,62,22307,70.0
1355,Zoom,2006,4.4,26,22182,44.0
1356,Factory Girl,2006,6.4,45,22072,64.0
1357,Lonely Hearts,2006,6.4,60,22057,64.0
1358,No Country for Old Men,2007,8.2,92,1018380,82.0
1359,I Am Legend,2007,7.2,65,788855,72.0
1360,Ratatouille,2007,8.1,96,783458,81.0
1361,Pirates of the Caribbean: At World's End,2007,7.1,50,674447,71.0
1362,Transformers,2007,7.0,61,661899,70.0
1363,The Bourne Ultimatum,2007,8.0,85,648204,80.0
1364,Into the Wild,2007,8.1,73,641225,81.0
1365,Spider-Man 3,2007,6.3,59,617398,63.0
1366,There Will Be Blood,2007,8.2,93,615704,82.0
1367,Superbad,2007,7.6,76,609432,76.0
1368,Harry Potter and the Order of the Phoenix,2007,7.5,71,609379,75.0
1369,Zodiac,2007,7.7,79,572173,77.0
1370,Juno,2007,7.5,81,538656,75.0
1371,Hot Fuzz. Superpolicías,2007,7.8,81,522629,78.0
1372,American Gangster,2007,7.8,76,440730,78.0
1373,Live Free or Die Hard,2007,7.1,69,414534,71.0
1374,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,83,378892,73.0
1375,Knocked Up,2007,6.9,85,378491,69.0
1376,Ocean's Thirteen,2007,6.9,62,359236,69.0
1377,Tirador,2007,7.1,53,346584,71.0
1378,The Simpsons Movie,2007,7.3,80,342034,73.0
1379,The Mist,2007,7.1,58,326987,71.0
1380,3:10 to Yuma,2007,7.7,76,323820,77.0
1381,Shrek the Third,2007,6.1,58,322470,61.0
1382,Atonement,2007,7.8,85,291009,78.0
1383,28 Weeks Later,2007,6.9,78,286129,69.0
1384,1408,2007,6.8,64,284880,68.0
1385,Gone Baby Gone,2007,7.6,72,282509,76.0
1386,Stardust,2007,7.6,66,279157,76.0
1387,4: Rise of the Silver Surfer,2007,5.6,45,272976,56.0
1388,Sunshine,2007,7.2,64,259879,72.0
1389,The Bucket List,2007,7.4,42,254020,74.0
1390,Eastern Promises,2007,7.6,83,253573,76.0
1391,Paranormal Activity,2007,6.3,68,249548,63.0
1392,National Treasure: Book of Secrets,2007,6.5,48,247501,65.0
1393,Ghost Rider,2007,5.3,35,246946,53.0
1394,Disturbia,2007,6.8,62,243112,68.0
1395,P.S. I Love You,2007,7.0,39,215299,70.0
1396,Fracture,2007,7.2,68,213143,72.0
1397,Enchanted,2007,7.1,75,212410,71.0
1398,The Darjeeling Limited,2007,7.2,67,210433,72.0
1399,Resident Evil: Extinction,2007,6.2,41,201616,62.0
1400,The Golden Compass,2007,6.1,51,193573,61.0
1401,[Rec],2007,7.4,71,189727,74.0
1402,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,68,188734,75.0
1403,Grindhouse,2007,7.5,77,188401,75.0
1404,30 Days of Night,2007,6.6,53,184059,66.0
1405,Rush Hour 3,2007,6.2,44,177758,62.0
1406,Hitman,2007,6.2,35,175022,62.0
1407,Blades of Glory,2007,6.3,64,174434,63.0
1408,Bee Movie,2007,6.1,54,173004,61.0
1409,Beowulf,2007,6.3,59,171564,63.0
1410,Michael Clayton,2007,7.2,82,170733,72.0
1411,El mundo mágico de Terabithia,2007,7.2,74,166340,72.0
1412,Next,2007,6.2,42,163339,62.0
1413,El orfanato,2007,7.4,74,160424,74.0
1414,Saw IV,2007,5.9,36,156946,59.0
1415,Mr. Brooks,2007,7.3,45,154232,73.0
1416,Shoot 'Em Up,2007,6.6,49,153272,66.0
1417,Evan Almighty,2007,5.4,37,152296,54.0
1418,Yo los declaro marido y... Larry,2007,5.9,37,151551,59.0
1419,Lars and the Real Girl,2007,7.3,70,150847,73.0
1420,Hairspray,2007,6.7,81,135630,67.0
1421,Las vacaciones de Mr. Bean,2007,6.4,56,130924,64.0
1422,The Kingdom,2007,7.0,56,130298,70.0
1423,AVPR: Aliens vs Predator - Requiem,2007,4.6,29,130245,46.0
1424,Halloween,2007,6.0,47,126834,60.0
1425,Charlie Wilson's War,2007,7.0,67,122818,70.0
1426,Wild Hogs,2007,5.8,27,121546,58.0
1427,Once,2007,7.8,90,119420,78.0
1428,Death at a Funeral,2007,7.3,67,118991,73.0
1429,Hannibal Rising,2007,6.1,35,113654,61.0
1430,Across the Universe,2007,7.3,56,112858,73.0
1431,August Rush,2007,7.4,38,109720,74.0
1432,Le scaphandre et le papillon,2007,8.0,92,109258,80.0
1433,Before the Devil Knows You're Dead,2007,7.3,86,108207,73.0
1434,Epic Movie,2007,2.4,17,108150,24.0
1435,Tropa de Elite,2007,8.0,33,107570,80.0
1436,La familia del futuro,2007,6.8,61,107151,68.0
1437,Letra y música,2007,6.5,59,105709,65.0
1438,Dan in Real Life,2007,6.8,65,105379,68.0
1439,Vacancy,2007,6.2,54,104865,62.0
1440,Funny Games,2007,6.5,44,101164,65.0
1441,Dead Silence,2007,6.1,34,98973,61.0
1442,Reign Over Me,2007,7.4,61,98552,74.0
1443,The Game Plan,2007,6.4,44,98427,64.0
1444,Persepolis,2007,8.0,90,97875,80.0
1445,La Mujer de mis pesadillas,2007,5.8,46,94959,58.0
1446,War,2007,6.2,36,94711,62.0
1447,Hostel: Part II,2007,5.5,46,93625,55.0
1448,Good Luck Chuck,2007,5.6,19,92949,56.0
1449,Alvin and the Chipmunks,2007,5.2,39,91365,52.0
1450,We Own the Night,2007,6.8,59,91259,68.0
1451,Hot Rod,2007,6.7,43,91189,67.0
1452,La Vie En Rose,2007,7.6,66,89295,76.0
1453,Surf's Up,2007,6.7,64,86698,67.0
1454,Chak De! India,2007,8.1,68,82844,81.0
1455,Freedom Writers,2007,7.6,64,82674,76.0
1456,The Kite Runner,2007,7.6,61,81620,76.0
1457,The Invasion,2007,5.9,45,81082,59.0
1458,Premonition,2007,5.9,29,80511,59.0
1459,Awake,2007,6.5,33,77868,65.0
1460,88 Minutes,2007,5.9,17,77600,59.0
1461,Norbit,2007,4.2,27,77201,42.0
1462,No Reservations,2007,6.3,50,77126,63.0
1463,Sicko,2007,8.0,74,76329,80.0
1464,Walk Hard: The Dewey Cox Story,2007,6.8,63,75815,68.0
1465,In the Valley of Elah,2007,7.2,65,74275,72.0
1466,Elizabeth: The Golden Age,2007,6.8,45,73774,68.0
1467,Death Sentence,2007,6.7,36,73671,67.0
1468,Run Fatboy Run,2007,6.5,48,69339,65.0
1469,Las Tortugas ninja,2007,6.2,41,67535,62.0
1470,Control,2007,7.6,78,67376,76.0
1471,Los cronocrímenes,2007,7.1,68,66795,71.0
1472,The Hills Have Eyes II,2007,5.1,32,66372,51.0
1473,Charlie Bartlett,2007,6.9,54,66123,69.0
1474,Becoming Jane,2007,7.0,55,63885,70.0
1475,The Nanny Diaries,2007,6.2,46,62603,62.0
1476,The Brave One,2007,6.7,56,62385,67.0
1477,"4 luni, 3 saptamâni si 2 zile",2007,7.9,97,62258,79.0
1478,The Great Debaters,2007,7.5,65,61116,75.0
1479,Breach,2007,7.0,74,61070,70.0
1480,I'm Not There,2007,6.8,73,60232,68.0
1481,The Lookout,2007,7.0,73,59968,70.0
1482,Rendition,2007,6.8,55,57516,68.0
1483,My Blueberry Nights,2007,6.6,51,55808,66.0
1484,The Condemned,2007,6.0,23,53702,60.0
1485,Cassandra's Dream,2007,6.6,49,53232,66.0
1486,Lions for Lambs,2007,6.2,47,51577,62.0
1487,In the Name of the King: A Dungeon Siege Tale,2007,3.8,15,50404,38.0
1488,Sydney White,2007,6.2,45,50112,62.0
1489,Perfect Stranger,2007,5.7,31,50033,57.0
1490,Diary of the Dead,2007,5.5,66,48550,55.0
1491,Mongol,2007,7.2,74,48232,72.0
1492,Waitress,2007,7.0,75,47999,70.0
1493,Mr. Magorium's Wonder Emporium,2007,6.2,48,47059,62.0
1494,Die Fälscher,2007,7.5,78,46690,75.0
1495,Fred Claus,2007,5.6,42,45787,56.0
1496,Pathfinder,2007,5.4,29,45575,54.0
1497,Teeth,2007,5.4,57,45328,54.0
1498,Cleaner,2007,6.1,49,44682,61.0
1499,The Hitcher,2007,5.6,28,44512,56.0
1500,"Se, jie",2007,7.5,61,44176,75.0
1501,Prueba de fe,2007,5.6,36,44085,56.0
1502,The Visitor,2007,7.6,79,43995,76.0
1503,Balls of Fury,2007,5.3,38,43967,53.0
1504,The Water Horse,2007,6.4,71,42354,64.0
1505,The Messengers,2007,5.3,34,40739,53.0
1506,License to Wed,2007,5.2,25,40187,52.0
1507,Because I Said So,2007,5.6,26,39624,56.0
1508,Boy A,2007,7.6,75,38522,76.0
1509,The Savages,2007,7.1,85,38248,71.0
1510,The King of Kong,2007,8.0,83,37185,80.0
1511,The Last Legion,2007,5.4,37,36682,54.0
1512,Mr. Woodcock,2007,5.2,41,36653,52.0
1513,The Invisible,2007,6.1,36,36182,61.0
1514,P2,2007,5.9,37,35424,59.0
1515,The Air I Breathe,2007,6.7,37,34688,67.0
1516,The Nines,2007,6.2,52,34340,62.0
1517,Chaos Theory,2007,6.6,44,33197,66.0
1518,Auf der anderen Seite,2007,7.7,85,32935,77.0
1519,Son of Rambow,2007,7.0,66,32699,70.0
1520,Sleuth,2007,6.4,49,32647,64.0
1521,In the Land of Women,2007,6.4,47,32324,64.0
1522,2 Days in Paris,2007,6.7,67,31793,67.0
1523,Paranoid Park,2007,6.6,84,31476,66.0
1524,I Know Who Killed Me,2007,3.6,16,30554,36.0
1525,Things We Lost in the Fire,2007,7.1,63,29405,71.0
1526,The Jane Austen Book Club,2007,6.7,61,28706,67.0
1527,The Girl Next Door,2007,6.5,29,28262,65.0
1528,Frontière(s),2007,6.2,44,28066,62.0
1529,A Mighty Heart,2007,6.6,74,28010,66.0
1530,Reno 911!: Miami,2007,5.9,47,27693,59.0
1531,Tau ming chong,2007,7.0,70,27494,70.0
1532,Evangelion Shin Gekijôban: Jo,2007,7.6,66,26257,76.0
1533,Stomp the Yard,2007,5.4,44,26150,54.0
1534,Georgia Rule,2007,5.9,25,25941,59.0
1535,The Hunting Party,2007,6.8,54,25799,68.0
1536,Flawless,2007,6.7,57,25722,67.0
1537,Eagle vs Shark,2007,6.7,55,25621,67.0
1538,D-War,2007,3.5,33,25114,35.0
1539,My Name Is Bruce,2007,6.2,36,24910,62.0
1540,Reservation Road,2007,6.6,46,24788,66.0
1541,Guru,2007,7.7,70,24551,77.0
1542,Bratz,2007,3.1,21,24509,31.0
1543,Wind Chill,2007,5.8,52,24182,58.0
1544,El amor en los tiempos del cólera,2007,6.4,43,23777,64.0
1545,Postal,2007,4.5,22,23769,45.0
1546,Captivity,2007,4.6,24,23506,46.0
1547,Shelter,2007,7.6,66,23488,76.0
1548,King of California,2007,6.6,63,23405,66.0
1549,St. Trinian's,2007,5.8,39,23274,58.0
1550,He Was a Quiet Man,2007,6.7,53,22981,67.0
1551,Underdog,2007,4.8,37,22316,48.0
1552,The Dark Knight,2008,9.0,84,2768543,90.0
1553,WALL·E,2008,8.4,95,1159903,84.0
1554,Iron Man,2008,7.9,79,1095083,79.0
1555,Slumdog Millionaire,2008,8.0,84,863751,80.0
1556,Gran Torino,2008,8.1,72,796491,81.0
1557,The Curious Case of Benjamin Button,2008,7.8,70,675778,78.0
1558,Taken,2008,7.8,51,619493,78.0
1559,The Incredible Hulk,2008,6.6,61,511235,66.0
1560,Hancock,2008,6.4,49,499761,64.0
1561,Kung Fu Panda,2008,7.6,74,496530,76.0
1562,Indiana Jones y el reino de la calavera de cristal,2008,6.2,65,479339,62.0
1563,Twilight,2008,5.3,56,475509,53.0
1564,Zona de miedo,2008,7.5,95,464499,75.0
1565,Quantum of Solace,2008,6.6,58,461490,66.0
1566,In Bruges,2008,7.9,67,449435,79.0
