,película,año,imdb,metascore,votos
242,Super Troopers,(2001),7.0,48,109824
243,Ali,(2001),6.7,65,103422
244,Das Experiment,(2001),7.7,59,95267
245,The One,(2001),5.9,25,94504
246,Along Came a Spider,(2001),6.4,42,93186
247,Sweet November,(2001),6.7,27,93061
248,El pasado nos condena,(2001),7.1,69,92245
249,Gosford Park,(2001),7.2,90,91468
250,Thir13en Ghosts,(2001),5.6,30,90955
251,Frailty,(2001),7.2,64,88047
252,Kate & Leopoldo,(2001),6.4,44,87370
253,Siu Lam juk kau,(2001),7.3,68,85173
254,Experta en bodas,(2001),5.3,33,84288
255,The Last Castle,(2001),6.9,43,83575
256,Fantasía final: El espíritu en nosotros,(2001),6.4,49,83325
257,Joy Ride,(2001),6.6,75,73414
258,Bandits,(2001),6.5,60,69899
259,Le pacte des loups,(2001),7.0,57,69338
260,El espinazo del diablo,(2001),7.4,78,69166
261,La pianista,(2001),7.5,79,68588
262,Waking Life,(2001),7.7,84,65918
263,Kiss of the Dragon,(2001),6.6,58,65583
264,Save the Last Dance,(2001),6.2,53,64532
265,The Pledge,(I) (2001),6.8,71,63983
266,Animal,(2001),4.8,43,62223
267,Cats & Dogs,(2001),5.1,47,61430
268,Session 9,(2001),6.4,58,61314
269,How High,(2001),6.2,29,60600
270,Wet Hot American Summer,(2001),6.5,42,59575
271,Jason X,(2001),4.4,25,59302
272,Joe Dirt,(2001),6.0,20,59288
273,America's Sweethearts,(2001),5.7,44,59258
274,Koroshiya 1,(2001),7.0,55,58578
275,Original Sin,(2001),6.0,33,58464
276,Heartbreakers,(2001),6.2,47,56743
277,Ghosts of Mars,(2001),4.9,35,56513
278,The Majestic,(2001),6.9,27,56448
279,Ni una palabra,(2001),6.3,38,55807
280,15 minutos,(2001),6.1,34,51342
281,Cowboy Bebop: La película,(2001),7.8,61,51216
282,The 51st State,(2001),6.3,23,50387
283,Freddy Got Fingered,(2001),4.6,13,50203
284,No Man's Land,(I) (2001),7.9,84,48142
285,3000 millas al infierno,(2001),5.9,21,47976
286,Dr. Dolittle 2,(2001),4.7,49,46545
287,Life as a House,(2001),7.5,45,44996
288,Rock Star,(2001),6.3,54,44570
289,Alta velocidad,(2001),4.6,29,42421
290,Black Knight,(2001),4.9,32,42376
291,Wasabi,(2001),6.6,53,41783
292,The Curse of the Jade Scorpion,(2001),6.7,52,41725
293,Tan perversa como el diablo,(2001),5.8,22,41711
294,In the Bedroom,(2001),7.4,86,41385
295,Mean Machine,(2001),6.4,45,40979
296,Nostalgia del pasado,(2001),6.9,55,40127
297,The Believer,(2001),7.1,75,40044
298,Bully,(2001),6.9,45,39679
299,The Glass House,(2001),5.8,34,39018
300,Heist,(2001),6.5,66,38362
301,Lucía y el sexo,(2001),7.0,65,38001
302,Osmosis Jones,(2001),6.3,57,37736
303,Jimmy Neutron: Niño genio,(2001),6.1,65,36891
304,Hedwig and the Angry Inch,(2001),7.7,85,36763
305,Exit Wounds,(2001),5.6,39,36361
306,Captain Corelli's Mandolin,(2001),5.9,36,35407
307,Bubble Boy,(2001),5.7,41,34544
308,The Shipping News,(2001),6.7,47,33562
309,Hard Ball,(2001),6.4,48,32758
310,One Night at McCool's,(2001),6.2,46,31015
311,The Tailor of Panama,(2001),6.1,66,30533
312,Sennen joyû,(2001),7.8,70,30320
313,Riding in Cars with Boys,(2001),6.5,43,30024
314,Antitrust,(2001),6.1,31,29943
315,Valentine,(2001),4.9,18,29473
316,Domestic Disturbance,(2001),5.6,29,28239
317,Alguien como tú,(2001),6.0,32,27074
318,Monsoon Wedding,(2001),7.3,77,26301
319,Ruleta rusa,(2001),6.0,51,26051
320,Crocodile Dundee in Los Angeles,(2001),4.8,37,25757
321,Crazy/Beautiful,(2001),6.4,61,25295
322,Mirada de ángel,(2001),5.7,39,25252
323,Buffalo Soldiers,(2001),6.7,56,25227
324,Knockaround Guys,(2001),6.1,30,24520
325,Down to Earth,(2001),5.4,32,24460
326,Impostor,(2001),6.1,33,24263
327,Josie and the Pussycats,(2001),5.6,47,24176
328,Glitter,(2001),2.4,14,23894
329,Kairo,(2001),6.5,70,23655
330,Metoroporisu,(2001),7.2,75,22137
331,Lost and Delirious,(2001),6.8,53,21906
332,O,(2001),6.1,53,21699
333,Enigma,(2001),6.4,64,21625
334,La stanza del figlio,(2001),7.3,73,20977
335,Tape,(2001),7.2,71,20768
336,Lantana,(2001),7.2,84,20015
337,Just Visiting,(2001),5.7,38,19847
338,Get Over It,(2001),5.7,52,19651
339,Tomcats,(2001),5.3,15,19191
340,Made,(2001),6.3,62,19075
341,Iris,(I) (2001),7.0,76,18820
342,Monkeybone,(2001),4.8,40,18770
343,Human Nature,(2001),6.4,56,18685
344,Out Cold,(2001),6.2,22,18126
345,Historias prohibidas,(2001),6.8,50,18080
346,Le placard,(2001),7.0,72,18059
347,Kissing Jessica Stein,(2001),6.6,72,17248
348,American Outlaws,(2001),5.9,25,17084
349,Summer Catch,(2001),5.1,21,16436
350,What's the Worst That Could Happen?,(2001),5.4,37,16426
351,Sur mes lèvres,(2001),7.3,82,16182
352,El hijo de la novia,(2001),7.8,68,16178
353,Baby Boy,(2001),6.4,55,15873
354,Elling,(2001),7.5,70,15516
355,Head Over Heels,(2001),5.4,27,15000
356,Sugar & Spice,(2001),5.7,48,14962
357,The Musketeer,(2001),4.7,27,14898
358,Pootie Tang,(2001),5.2,31,14763
359,Nirgendwo in Afrika,(2001),7.5,72,13732
360,Dime que no es cierto,(2001),5.0,21,13600
361,Corky Romano,(2001),4.7,20,13546
362,Intacto,(2001),6.8,59,13464
363,Dogtown and Z-Boys,(2001),7.6,76,13183
364,Charlotte Gray,(2001),6.4,48,12964
365,Intimacy,(2001),6.1,69,12797
366,À ma soeur!,(2001),6.4,77,12439
367,Le peuple migrateur,(2001),7.9,82,12157
368,The Deep End,(2001),6.5,78,11875
369,Novocaine,(2001),5.8,45,11503
370,Thirteen Conversations About One Thing,(2001),7.0,74,11347
371,Recess: School's Out,(2001),6.5,43,11303
372,The Grey Zone,(2001),7.0,58,11141
373,Joe Somebody,(2001),5.5,42,10963
374,Nabbeun namja,(2001),6.6,49,10335
375,L.I.E.,(2001),7.1,73,10309
376,The Lord of the Rings: The Two Towers,(2002),8.8,87,1723962
377,Catch Me If You Can,(2002),8.1,75,1042727
378,The Pianist,(2002),8.5,85,873187
379,Spider-Man,(2002),7.4,73,851211
380,Cidade de Deus,(2002),8.6,79,779327
381,Star Wars: Episode II - Attack of the Clones,(2002),6.6,54,737408
382,Harry Potter and the Chamber of Secrets,(2002),7.4,63,665626
383,Sentencia previa,(2002),7.6,80,570342
384,Identidad desconocida,(2002),7.8,68,563540
385,La era del hielo,(2002),7.5,61,502034
386,Gangs of New York,(2002),7.5,72,459025
387,28 Days Later...,(2002),7.5,73,430232
388,Hombres de negro II,(2002),6.2,49,391677
389,Signs,(2002),6.8,59,376382
390,The Ring,(2002),7.1,57,364226
391,Equilibrium,(2002),7.3,33,340769
392,The Transporter,(2002),6.8,51,313909
393,Insomnia,(2002),7.2,78,308809
394,8 Mile,(2002),7.2,77,307353
395,La habitación del pánico,(2002),6.8,65,289055
396,Dragón rojo,(2002),7.2,60,283842
397,El huésped maldito,(2002),6.6,33,281013
398,Enlace mortal,(2002),7.1,56,279004
399,Camino a la perdición,(2002),7.7,72,278120
400,Chicago,(2002),7.2,81,237246
401,Blade II,(2002),6.7,52,227896
402,Die Another Day,(2002),6.1,56,224938
403,Austin Powers in Goldmember,(2002),6.2,62,217889
404,A Walk to Remember,(2002),7.3,35,217280
405,Lilo y Stitch,(2002),7.3,74,203337
406,Adaptation.,(2002),7.7,83,198607
407,About a Boy,(2002),7.1,75,188622
408,Ying xiong,(2002),7.9,85,185286
409,xXx,(2002),5.8,48,183970
410,25th Hour,(2002),7.6,69,182458
411,Punch-Drunk Love,(2002),7.3,78,171954
412,Mr. Deeds,(2002),5.8,24,149226
413,We Were Soldiers,(2002),7.2,65,147768
414,Bowling for Columbine,(2002),8.0,72,147045
415,The Count of Monte Cristo,(2002),7.7,61,144533
416,El rey escorpión,(2002),5.5,45,142937
417,Irréversible,(2002),7.3,51,142469
418,Reign of Fire,(2002),6.2,39,142204
419,John Q,(2002),7.1,30,139979
420,My Big Fat Greek Wedding,(2002),6.6,62,138709
421,The Hours,(2002),7.5,80,135984
422,About Schmidt,(2002),7.2,85,131340
423,Mou gaan dou,(2002),8.0,75,128594
424,One Hour Photo,(2002),6.8,64,128576
425,The Time Machine,(2002),6.0,42,127956
426,Treasure Planet,(2002),7.2,60,127264
427,Two Weeks Notice,(2002),6.1,42,122978
428,La suma de todos los miedos,(2002),6.4,45,121666
429,Scooby-Doo,(2002),5.2,35,120411
430,Sweet Home Alabama,(2002),6.2,45,119556
431,Hable con ella,(2002),7.9,86,115575
432,Bend It Like Beckham,(2002),6.7,66,114294
433,National Lampoon's Van Wilder,(2002),6.4,26,113185
434,Ghost Ship,(2002),5.6,28,105957
435,The Hot Chick,(2002),5.5,29,99838
436,Jackass: The Movie,(2002),6.6,42,99780
437,Secretary,(2002),6.9,63,95521
438,Infidelidad,(2002),6.7,63,94328
439,Ali G Indahouse,(2002),6.2,46,94268
440,Maid in Manhattan,(2002),5.3,45,93834
441,Frida,(2002),7.3,61,93195
442,Confessions of a Dangerous Mind,(2002),7.0,67,90604
443,Analyze That,(2002),5.9,37,88213
444,The Tuxedo,(2002),5.4,30,86820
445,Solaris,(2002),6.2,65,84950
446,The Mothman Prophecies,(2002),6.4,52,82983
447,Star Trek: Nemesis,(2002),6.4,51,82315
448,Spirit: Stallion of the Cimarron,(2002),7.2,52,81750
449,Cabin Fever,(2002),5.6,56,81366
450,Daño colateral,(2002),5.5,33,76955
451,40 Days and 40 Nights,(2002),5.6,53,74956
452,Changing Lanes,(2002),6.5,69,73465
453,Boksuneun naui geot,(2002),7.5,56,72855
454,Windtalkers,(2002),6.1,51,71863
455,Mini espías 2: La isla de los sueños perdidos,(2002),5.3,66,71209
456,K-19: The Widowmaker,(2002),6.7,58,65801
457,Showtime,(2002),5.5,32,64375
458,S1m0ne,(2002),6.1,49,61770
459,Santa Clausula 2,(2002),5.7,48,61237
460,The Sweetest Thing,(2002),5.2,32,61011
461,Neko no ongaeshi,(2002),7.1,70,60879
462,Cálculo mortal,(2002),6.1,50,60555
463,Eight Legged Freaks,(2002),5.5,53,59174
464,Queen of the Damned,(2002),5.2,30,58421
465,Stuart Little 2,(2002),5.5,66,56980
466,En defensa del honor,(2002),6.3,49,54480
467,I Spy,(2002),5.4,35,52698
468,The Rules of Attraction,(2002),6.6,50,52662
469,Orange County,(2002),6.2,48,51284
470,Bubba Ho-Tep,(2002),6.9,57,50451
471,Mala compañía,(2002),5.6,37,49273
472,Far from Heaven,(2002),7.3,84,48102
473,Kung Pow: Enter the Fist,(2002),6.2,14,47665
474,Lilja 4-ever,(2002),7.8,83,47655
475,Halloween: Resurrection,(2002),3.9,19,47317
476,Ju-on,(2002),6.7,48,46741
477,Blood Work,(2002),6.4,64,46696
478,The Good Girl,(2002),6.4,71,46518
479,Crimen en primer grado,(2002),6.4,48,46447
480,Enough,(I) (2002),5.7,25,46281
481,Tierra de sueños,(2002),7.7,76,43871
482,Dirty Pretty Things,(2002),7.3,78,43549
483,Whale Rider,(2002),7.5,80,43473
484,Narc,(2002),7.1,70,42343
485,L'auberge espagnole,(2002),7.3,65,42233
486,Death to Smoochy,(2002),6.3,38,41896
487,Amigas para siempre,(I) (2002),3.6,27,41271
488,Spider,(2002),6.8,83,40383
489,Spun,(2002),6.7,41,40163
490,El misterio de la libélula,(2002),6.1,25,39465
491,May,(2002),6.6,58,39151
492,24 Hour Party People,(2002),7.3,85,38733
493,Big Fat Liar,(2002),5.5,36,38562
494,Antwone Fisher,(2002),7.3,62,37331
495,The New Guy,(2002),5.8,24,37028
496,Femme Fatale,(2002),6.2,60,36984
497,El novato,(2002),6.9,72,36330
498,Undercover Brother,(2002),5.9,69,35783
499,Drumline,(2002),5.9,63,35548
500,The Four Feathers,(2002),6.5,49,35030
501,Igby Goes Down,(2002),6.9,72,34459
502,Undisputed,(2002),6.1,58,33679
503,8 femmes,(2002),7.0,64,33623
504,White Oleander,(2002),7.1,61,33450
505,Barbershop,(2002),6.3,66,32781
506,Blue Crush,(2002),5.7,61,32443
507,Boat Trip,(2002),4.9,18,31999
508,The Salton Sea,(2002),7.0,41,31607
509,Rabbit-Proof Fence,(2002),7.4,80,29755
510,Gin gwai,(2002),6.6,66,29744
511,The Quiet American,(2002),7.0,84,29228
512,Friday After Next,(2002),5.8,35,29188
513,Rollerball,(2002),3.1,14,28991
514,Snow Dogs,(2002),5.2,29,28002
515,The Magdalene Sisters,(2002),7.7,83,27977
516,Hollywood Ending,(2002),6.5,46,27696
517,Life or Something Like It,(2002),5.7,31,27487
518,The Adventures of Pluto Nash,(2002),3.9,12,26584
519,The Master of Disguise,(2002),3.3,12,26436
520,Heaven,(I) (2002),7.0,68,26195
521,City by the Sea,(2002),6.1,50,26028
522,Bloody Sunday,(2002),7.6,90,25383
523,Trapped,(I) (2002),6.1,42,24847
524,Tuck Everlasting,(2002),6.6,66,24833
525,Tasogare Seibei,(2002),8.1,82,24799
526,The Importance of Being Earnest,(2002),6.8,60,24307
527,Mies vailla menneisyyttä,(2002),7.6,84,24278
528,Eight Crazy Nights,(2002),5.3,23,24209
529,Below,(2002),6.1,55,23512
530,Dark Blue,(2002),6.6,57,23329
531,Feardotcom,(2002),3.4,16,22271
532,Like Mike,(2002),5.3,47,21901
533,Uzak,(2002),7.5,84,21821
534,Return to Never Land,(2002),5.8,49,21512
535,Big Trouble,(2002),6.4,47,21326
536,Russkiy kovcheg,(2002),7.2,87,21314
537,Fijación,(2002),5.1,29,20846
538,Ballistic: Ecks vs. Sever,(2002),3.7,19,20768
539,Divinos secretos,(2002),6.1,48,20591
540,Darkness,(2002),5.4,15,20068
541,Gerry,(2002),6.0,54,19386
542,À la folie... pas du tout,(2002),7.1,63,19346
543,Serving Sara,(2002),5.3,18,18299
544,Roger Dodger,(2002),6.9,75,17770
545,The Emperor's Club,(2002),6.9,49,17587
546,Swept Away,(2002),3.6,18,17425
547,Laurel Canyon,(2002),6.4,61,17252
548,Dôruzu,(2002),7.5,71,17093
549,The Banger Sisters,(2002),5.7,48,17079
550,Half Past Dead,(2002),4.6,23,16412
551,Sorority Boys,(2002),5.4,25,16058
552,Sweet Sixteen,(I) (2002),7.4,86,15531
553,Welcome to Collinwood,(2002),6.3,61,15403
554,The Guru,(2002),5.4,47,15402
555,All About the Benjamins,(2002),5.8,34,15284
556,Los lunes al sol,(2002),7.5,64,15061
557,The Wild Thornberrys Movie,(2002),5.6,69,15058
558,Slackers,(2002),5.3,12,15048
559,Clockstoppers,(2002),5.2,40,14850
560,Amen.,(2002),7.2,57,14685
561,Ararat,(2002),6.3,62,14673
562,Auto Focus,(2002),6.6,66,14549
563,Moonlight Mile,(2002),6.6,59,14476
564,El crimen del padre Amaro,(2002),6.7,60,14234
565,The Dangerous Lives of Altar Boys,(2002),6.9,69,14025
566,Hellraiser: Hellseeker,(2002 Video),4.9,46,13890
567,Paid in Full,(2002),7.0,49,13631
568,Possession,(2002),6.3,52,13574
569,Stealing Harvard,(2002),5.1,25,13502
570,They,(2002),4.8,31,13424
571,Nicholas Nickleby,(2002),7.1,71,13083
572,Spellbound,(2002),7.6,80,12383
573,Lost in La Mancha,(2002),7.3,75,11890
574,People I Know,(2002),5.4,53,11636
575,Ritânâ,(2002),6.4,36,11462
576,Dahmer,(2002),5.6,63,11435
577,All or Nothing,(2002),7.5,72,11240
578,Full Frontal,(2002),4.7,45,11214
579,The Lord of the Rings: The Return of the King,(2003),9.0,94,1910481
580,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.1,63,1169855
581,Kill Bill: Vol. 1,(2003),8.2,69,1154922
582,Finding Nemo,(2003),8.2,90,1080110
583,The Matrix Reloaded,(2003),7.2,62,614284
584,Oldeuboi,(2003),8.4,77,607118
585,X2,(2003),7.4,68,565093
586,The Matrix Revolutions,(2003),6.7,47,530328
587,Love Actually,(2003),7.6,55,505837
588,Lost in Translation,(2003),7.7,91,472377
589,Mystic River,(2003),7.9,84,471952
590,The Last Samurai,(2003),7.8,55,457125
591,El gran pez,(2003),8.0,58,450857
592,Bruce Almighty,(2003),6.8,46,420654
